setting,graph,run,records,accepted,accept_rate,categories_at_target,category_count,finished,read_only_rate,syntax_valid_rate,schema_valid_rate,execution_success_rate,judge_pass_rate
Unconstrained LLM,finbench,20260601_220246_20260601_ablation50_qwen9b_finbench_unconstrained_local_llm,0,0,0.000000,0,8,true,0.000000,0.000000,0.000000,0.000000,0.000000
Reverse-only,finbench,20260601_220247_20260601_ablation50_qwen9b_finbench_reverse_only,400,400,1.000000,8,8,true,1.000000,1.000000,1.000000,1.000000,1.000000
Validators+repair,finbench,20260601_220302_20260601_ablation50_qwen9b_finbench_validators_repair,400,400,1.000000,8,8,true,1.000000,1.000000,1.000000,1.000000,1.000000
No retrieval,finbench,20260601_220318_20260601_ablation50_qwen9b_finbench_ablation_retrieval_topk_0,429,400,0.932401,8,8,true,1.000000,1.000000,1.000000,1.000000,0.932401
No rewrite,finbench,20260601_222119_20260601_ablation50_qwen9b_finbench_ablation_rewrite_false,423,400,0.945626,8,8,true,1.000000,1.000000,1.000000,1.000000,0.945626
No LLM judge,finbench,20260601_223821_20260601_ablation50_qwen9b_finbench_ablation_judge_false,401,400,0.997506,8,8,true,1.000000,1.000000,1.000000,1.000000,0.997506
Full PIPE-Cypher,finbench,20260601_223836_20260601_ablation50_qwen9b_finbench_full_pipe_cypher,416,400,0.961538,8,8,true,1.000000,1.000000,1.000000,1.000000,0.961538
Unconstrained LLM,snb,20260601_225457_20260601_ablation50_qwen9b_snb_unconstrained_local_llm,0,0,0.000000,0,8,true,0.000000,0.000000,0.000000,0.000000,0.000000
Reverse-only,snb,20260601_225458_20260601_ablation50_qwen9b_snb_reverse_only,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
Validators+repair,snb,20260601_225510_20260601_ablation50_qwen9b_snb_validators_repair,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
No retrieval,snb,20260601_225522_20260601_ablation50_qwen9b_snb_ablation_retrieval_topk_0,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
No rewrite,snb,20260601_231001_20260601_ablation50_qwen9b_snb_ablation_rewrite_false,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
No LLM judge,snb,20260601_232445_20260601_ablation50_qwen9b_snb_ablation_judge_false,406,400,0.985222,8,8,true,1.000000,1.000000,0.995074,0.995074,0.985222
Full PIPE-Cypher,snb,20260601_232457_20260601_ablation50_qwen9b_snb_full_pipe_cypher,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
