setting,graph,run,records,accepted,accept_rate,categories_at_target,category_count,finished,read_only_rate,syntax_valid_rate,schema_valid_rate,execution_success_rate,judge_pass_rate
Unconstrained LLM,finbench,20260602_081452_20260602_ablation50_qwen9b_seed17_catfix_finbench_unconstrained_local_llm,0,0,0.000000,0,8,true,0.000000,0.000000,0.000000,0.000000,0.000000
Reverse-only,finbench,20260602_081453_20260602_ablation50_qwen9b_seed17_catfix_finbench_reverse_only,400,400,1.000000,8,8,true,1.000000,1.000000,1.000000,1.000000,1.000000
Validators+repair,finbench,20260602_081512_20260602_ablation50_qwen9b_seed17_catfix_finbench_validators_repair,400,400,1.000000,8,8,true,1.000000,1.000000,1.000000,1.000000,1.000000
No retrieval,finbench,20260602_081531_20260602_ablation50_qwen9b_seed17_catfix_finbench_ablation_retrieval_topk_0,403,400,0.992556,8,8,true,1.000000,1.000000,1.000000,1.000000,0.992556
No rewrite,finbench,20260602_083135_20260602_ablation50_qwen9b_seed17_catfix_finbench_ablation_rewrite_false,403,400,0.992556,8,8,true,1.000000,1.000000,1.000000,1.000000,0.992556
No LLM judge,finbench,20260602_084732_20260602_ablation50_qwen9b_seed17_catfix_finbench_ablation_judge_false,400,400,1.000000,8,8,true,1.000000,1.000000,1.000000,1.000000,1.000000
Full PIPE-Cypher,finbench,20260602_084749_20260602_ablation50_qwen9b_seed17_catfix_finbench_full_pipe_cypher,403,400,0.992556,8,8,true,1.000000,1.000000,1.000000,1.000000,0.992556
Unconstrained LLM,snb,20260602_090358_20260602_ablation50_qwen9b_seed17_catfix_snb_unconstrained_local_llm,0,0,0.000000,0,8,true,0.000000,0.000000,0.000000,0.000000,0.000000
Reverse-only,snb,20260602_090358_20260602_ablation50_qwen9b_seed17_catfix_snb_reverse_only,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
Validators+repair,snb,20260602_090414_20260602_ablation50_qwen9b_seed17_catfix_snb_validators_repair,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
No retrieval,snb,20260602_090430_20260602_ablation50_qwen9b_seed17_catfix_snb_ablation_retrieval_topk_0,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
No rewrite,snb,20260602_092019_20260602_ablation50_qwen9b_seed17_catfix_snb_ablation_rewrite_false,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
No LLM judge,snb,20260602_093604_20260602_ablation50_qwen9b_seed17_catfix_snb_ablation_judge_false,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
Full PIPE-Cypher,snb,20260602_093620_20260602_ablation50_qwen9b_seed17_catfix_snb_full_pipe_cypher,402,400,0.995025,8,8,true,1.000000,1.000000,0.995025,0.995025,0.995025
