graph,variant,variant_label,suite_count,compared_suite_count,missing_suite_count,accepted_mean,accepted_min,accepted_max,accepted_stdev,target_coverage_mean,target_coverage_min,target_coverage_max,target_coverage_stdev,category_target_share_mean,accept_rate_mean,accept_rate_min,accept_rate_max,accept_rate_stdev,execution_success_mean,judge_pass_mean
finbench,ablation_judge_false,No LLM judge,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.994243,0.985222,1.000000,0.007911,1.000000,0.994243
finbench,ablation_retrieval_topk_0,No retrieval,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.967253,0.932401,0.992556,0.031193,1.000000,0.967253
finbench,ablation_rewrite_false,No rewrite,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.968902,0.945626,0.992556,0.023467,1.000000,0.968902
finbench,full_pipe_cypher,Full PIPE-Cypher,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.974989,0.961538,0.992556,0.015913,1.000000,0.974989
finbench,reverse_only,Reverse-only,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.993865,0.981595,1.000000,0.010626,0.993865,0.993865
finbench,unconstrained_local_llm,Unconstrained LLM,3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
finbench,validators_repair,Validators+repair,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.986795,0.960384,1.000000,0.022872,1.000000,0.986795
snb,ablation_judge_false,No LLM judge,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.982143,0.966184,0.995025,0.014665,0.995894,0.982143
snb,ablation_retrieval_topk_0,No retrieval,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.992975,0.988875,0.995025,0.003551,0.995859,0.992975
snb,ablation_rewrite_false,No rewrite,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.983094,0.959233,0.995025,0.020665,0.995884,0.983094
snb,full_pipe_cypher,Full PIPE-Cypher,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.986975,0.970874,0.995025,0.013944,0.995874,0.986975
snb,reverse_only,Reverse-only,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.988553,0.975610,0.995025,0.011209,0.995870,0.988553
snb,unconstrained_local_llm,Unconstrained LLM,3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
snb,validators_repair,Validators+repair,3,3,0,533.333333,400.000000,800.000000,230.940108,1.000000,1.000000,1.000000,0.000000,1.000000,0.986975,0.970874,0.995025,0.013944,0.995874,0.986975
